prefix,tag,count,total,avg_val,first_val,first_step,last_val,last_step,min_val,min_step,max_val,max_step
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu1/mem_total,9,103988330496.0,11554258944.0,11554258944.0,1,11554258944.0,1,11554258944.0,1,11554258944.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu1/mem_used,9,8389656576.0,932184064.0,932184064.0,1,932184064.0,1,932184064.0,1,932184064.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu1/mem_util,9,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu1/powerdraw,9,570.6000137329102,63.400001525878906,63.400001525878906,1,63.400001525878906,1,63.400001525878906,1,63.400001525878906,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu1/pstate,9,18.0,2.0,2.0,1,2.0,1,2.0,1,2.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu1/temp,9,315.0,35.0,35.0,1,35.0,1,35.0,1,35.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu1/util,9,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu2/fanspeed,9,2.790000021457672,0.3100000023841858,0.3100000023841858,1,0.3100000023841858,1,0.3100000023841858,1,0.3100000023841858,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu2/mem_free,9,103978893312.0,11553210368.0,11553210368.0,1,11553210368.0,1,11553210368.0,1,11553210368.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu2/mem_total,9,103988330496.0,11554258944.0,11554258944.0,1,11554258944.0,1,11554258944.0,1,11554258944.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu2/mem_used,9,9437184.0,1048576.0,1048576.0,1,1048576.0,1,1048576.0,1,1048576.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu2/mem_util,9,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu2/powerdraw,9,197.72999382019043,21.969999313354492,21.969999313354492,1,21.969999313354492,1,21.969999313354492,1,21.969999313354492,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu2/pstate,9,72.0,8.0,8.0,1,8.0,1,8.0,1,8.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu2/temp,9,297.0,33.0,33.0,1,33.0,1,33.0,1,33.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu2/util,9,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1
ray_results/mwe/LightningTrainer_cce97_00000_0_lr=0.0611_2023-07-03_01-08-32,sys/gpu3/fanspeed,9,2.7000001072883606,0.30000001192092896,0.30000001192092896,1,0.30000001192092896,1,0.30000001192092896,1,0.30000001192092896,1
