prefix,tag,count,total,avg_val,first_val,first_step,last_val,last_step,min_val,min_step,max_val,max_step
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/should_checkpoint,1,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/should_checkpoint,1,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/step,1,8.0,8.0,8.0,1,8.0,1,8.0,1,8.0,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/step,1,8.0,8.0,8.0,1,8.0,1,8.0,1,8.0,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/time_since_restore,1,4.79811954498291,4.79811954498291,4.79811954498291,1,4.79811954498291,1,4.79811954498291,1,4.79811954498291,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/time_since_restore,1,4.79811954498291,4.79811954498291,4.79811954498291,1,4.79811954498291,1,4.79811954498291,1,4.79811954498291,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/time_this_iter_s,1,4.79811954498291,4.79811954498291,4.79811954498291,1,4.79811954498291,1,4.79811954498291,1,4.79811954498291,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/time_this_iter_s,1,4.79811954498291,4.79811954498291,4.79811954498291,1,4.79811954498291,1,4.79811954498291,1,4.79811954498291,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/train/loss,1,0.5055351257324219,0.5055351257324219,0.5055351257324219,1,0.5055351257324219,1,0.5055351257324219,1,0.5055351257324219,1
ray_results/mwe/LightningTrainer_ed5a9_00001_1_lr=0.0051_2023-07-01_07-36-48,ray/tune/train/loss,1,0.5055351257324219,0.5055351257324219,0.5055351257324219,1,0.5055351257324219,1,0.5055351257324219,1,0.5055351257324219,1
